name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
PILA,EPPI,PL,53.169716666666666,16.71055,83.0,5,214,2400.0m,60.0m,122.405,
PIENIEZNICA,,PL,53.87166666666667,17.00305,159.0,5,263,1283.0m,50.0m,,
PINCZOW,,PL,50.51805,20.514716666666665,186.0,2,296,684.0m,15.0m,122.600,
PIOTRKOW TRYBUNALSKI,EPPT,PL,51.3825,19.688616666666668,205.0,5,028,950.0m,18.0m,119.305,
PISZ-ROSTKI,,PL,53.70888333333333,21.907216666666667,114.0,2,258,870.0m,80.0m,130.300,
PLOCK,EPPL,PL,52.56195,19.719716666666667,102.0,2,300,730.0m,160.0m,122.800,
PLONSK-KEPA,EPPN,PL,52.723616666666665,20.42,101.0,2,224,513.0m,25.0m,123.400,
POBIEDNIK K/KRAKOWA,EPKP,PL,50.08645,20.201666666666668,200.0,2,271,1100.0m,50.0m,118.605,
POKRZYWKI,,PL,53.30721666666667,19.422783333333335,108.0,2,316,285.0m,17.0m,,
POREBA,,PL,50.487766666666666,19.376666666666665,324.0,2,114,500.0m,18.0m,,
POWIDZ,EPPW,PL,52.37903333333333,17.852216666666667,109.0,5,107,3514.0m,60.0m,119.000,
POWODOWO,,PL,52.117216666666664,16.0475,59.0,2,293,584.0m,50.0m,,
POLSKA NOWA WIES K/OPOLA,EPOP,PL,50.63228333333333,17.78055,177.0,2,069,740.0m,200.0m,122.360,
POZNAN/BEDNARY,EPPB,PL,52.536116666666665,17.214166666666667,115.0,5,105,1900.0m,30.0m,120.415,
POZNAN/KRZESINY,EPKS,PL,52.33195,16.966666666666665,84.0,5,298,2500.0m,60.0m,121.025,
PRUSZCZ GDANSKI,EPPR,PL,54.24805,18.671116666666666,5.0,5,280,1166.0m,45.0m,126.500,
POZNAN/KOBYLNICA,EPPK,PL,52.43443333333333,17.044166666666666,87.0,2,242,750.0m,50.0m,122.905,
PRZASNYSZ,EPPZ,PL,53.01,20.933333333333334,113.0,2,114,1145.0m,50.0m,122.600,
POZNAN/LAWICA,EPPO,PL,52.42111666666667,16.826383333333332,94.0,5,288,2504.0m,50.0m,119.980,
PRZYLEP K/ZIELONEJ GÓRY,EPZP,PL,51.97971666666667,15.464166666666667,77.0,2,237,920.0m,180.0m,130.780,
PRZYTULY,,PL,53.1175,21.716666666666665,101.0,2,248,420.0m,20.0m,,
PRZYWIDZ-KATARYNKI,EPPD,PL,54.21555,18.33945,247.0,2,277,800.0m,40.0m,,
PRZYBOROW,,PL,51.80166666666667,15.801666666666666,62.0,2,316,800.0m,50.0m,,
RADAWIEC K/LUBLINA,EPLR,PL,51.223333333333336,22.393883333333335,240.0,2,293,1300.0m,80.0m,122.405,
WARSZAWA-RADOM,EPRA,PL,51.38888333333333,21.211666666666666,190.0,5,255,2000.0m,45.0m,119.150,
RADZYN PODLASKI-MARYNIN,,PL,51.74805,22.62945,143.0,2,278,390.0m,30.0m,,
ROSANOW,,PL,51.91055,19.399716666666666,163.0,2,353,300.0m,21.0m,,
ROGOZNO,,PL,53.54805,18.955283333333334,75.0,2,216,300.0m,30.0m,,
RECZAJE,,PL,52.31945,21.324716666666667,94.0,0,,,,,
ROZANKI,,PL,52.772216666666665,15.307216666666667,71.0,2,282,680.0m,25.0m,,
REWAL-NINIKOWO,,PL,54.062783333333336,15.029166666666667,9.0,2,205,490.0m,20.0m,123.450,
RUDA KOSCIELNA,,PL,50.954166666666666,21.53055,177.0,2,270,1000.0m,52.0m,,
RUDNIKI K/CZESTOCHOWY,EPRU,PL,50.88471666666667,19.20305,262.0,5,257,1800.0m,60.0m,121.315,
RYPIN,,PL,53.047216666666664,19.42555,110.0,2,042,314.0m,26.0m,,
